sma,lma,signals
118.87399999999991,118.6034999999999,
118.7559999999999,118.5684999999999,
118.5459999999999,118.49449999999993,
118.46799999999992,118.38899999999992,
118.39399999999992,118.34099999999992,
118.02399999999992,118.1579999999999,
117.05599999999993,117.8649999999999,
116.49199999999992,117.6784999999999,
115.73399999999992,117.5409999999999,
114.8999999999999,117.37799999999989,
114.17999999999991,117.18849999999989,
114.0639999999999,116.98949999999988,
113.95199999999991,116.9099999999999,
113.8139999999999,116.7204999999999,
113.95199999999991,116.5799999999999,
113.76399999999992,116.21049999999991,
112.88399999999993,115.6899999999999,
112.54799999999993,115.38449999999989,
112.59799999999993,115.15349999999987,
112.43799999999992,114.92099999999989,
112.85999999999993,114.70699999999991,
113.86599999999991,114.4674999999999,
114.66599999999991,114.41449999999989,
115.00399999999993,114.28749999999988,
115.59599999999993,114.22149999999988,
116.33199999999992,114.28399999999988,
117.11799999999994,114.48299999999988,
117.13399999999993,114.57499999999989,
117.42199999999991,114.70949999999989,
117.34599999999992,114.8329999999999,
117.64599999999992,115.1504999999999,
118.18199999999993,115.5124999999999,
119.20999999999992,115.88949999999991,
119.87399999999994,116.22449999999992,
120.70199999999993,116.52049999999993,
121.15399999999993,116.99799999999993,
121.27599999999993,117.61049999999993,
121.55999999999995,118.14249999999996,
122.43799999999995,118.68449999999996,
123.02599999999993,119.16749999999995,
123.56199999999993,119.67349999999995,
123.93599999999992,120.12799999999996,
123.76999999999991,120.41849999999997,
123.64199999999991,120.84399999999998,
123.88399999999993,121.23949999999999,
124.07399999999993,121.60900000000001,
124.46799999999992,121.96550000000002,
124.94199999999992,122.37050000000002,
125.04999999999991,122.75100000000002,
124.99599999999991,123.15200000000002,
124.7239999999999,123.37850000000003,
124.37199999999989,123.51300000000003,
124.2699999999999,123.63550000000002,
124.07199999999989,123.80050000000001,
123.80799999999988,123.92850000000001,
123.85799999999988,124.0545,
124.07199999999989,124.21200000000002,
123.89399999999989,124.21900000000001,
123.8899999999999,124.1635,
124.16999999999989,124.2145,
124.64799999999988,124.326,
124.9419999999999,124.4635,
125.46999999999989,124.64399999999998,
125.92599999999989,124.73449999999998,
126.23599999999988,124.80249999999998,
126.87399999999988,125.02599999999998,
127.91599999999987,125.32549999999999,
128.74599999999987,125.59499999999998,
128.93199999999987,125.70499999999997,
129.36799999999988,125.89549999999997,
128.8639999999999,126.06099999999996,
128.2079999999999,126.28449999999995,
127.82399999999991,126.48349999999996,
128.2179999999999,126.74149999999997,
128.2099999999999,126.99599999999998,
128.4959999999999,127.22049999999997,
128.9299999999999,127.49899999999998,
129.2759999999999,127.82899999999998,
129.05399999999992,128.03249999999997,
