Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-06-03,118.975,118.98,117.86,118.47,14135114.0,0.0,1.0,118.975,118.98,117.86,118.47,14135114.0
2016-06-06,118.62,119.43,118.36,118.79,12744676.0,0.0,1.0,118.62,119.43,118.36,118.79,12744676.0
2016-06-07,119.24,119.3,117.67,117.76,17103023.0,0.0,1.0,119.24,119.3,117.67,117.76,17103023.0
2016-06-08,117.76,118.6,117.27,118.39,14505596.0,0.0,1.0,117.76,118.6,117.27,118.39,14505596.0
2016-06-09,118.13,118.68,117.71,118.56,13859240.0,0.0,1.0,118.13,118.68,117.71,118.56,13859240.0
2016-06-10,117.54,118.11,116.26,116.62,18510826.0,0.0,1.0,117.54,118.11,116.26,116.62,18510826.0
2016-06-13,115.0,115.48,113.31,113.95,31718239.0,0.0,1.0,115.0,115.48,113.31,113.95,31718239.0
2016-06-14,114.07,114.95,113.58,114.94,17618479.0,0.0,1.0,114.07,114.95,113.58,114.94,17618479.0
2016-06-15,115.3,115.44,114.07,114.6,19819432.0,0.0,1.0,115.3,115.44,114.07,114.6,19819432.0
2016-06-16,113.87,114.5,112.94,114.39,19236255.0,0.0,1.0,113.87,114.5,112.94,114.39,19236255.0
2016-06-17,114.42,114.43,112.56,113.02,24644308.0,0.0,1.0,114.42,114.43,112.56,113.02,24644308.0
2016-06-20,113.77,114.72,112.75,113.37,20785390.0,0.0,1.0,113.77,114.72,112.75,113.37,20785390.0
2016-06-21,114.12,115.2142,113.97,114.38,19166269.0,0.0,1.0,114.12,115.2142,113.97,114.38,19166269.0
2016-06-22,114.65,114.74,113.61,113.91,14846329.0,0.0,1.0,114.65,114.74,113.61,113.91,14846329.0
2016-06-23,114.37,115.09,113.54,115.08,16176895.0,0.0,1.0,114.37,115.09,113.54,115.08,16176895.0
2016-06-24,111.01,113.68,111.0,112.08,40643130.0,0.0,1.0,111.01,113.68,111.0,112.08,40643130.0
2016-06-27,111.57,111.57,108.23,108.97,36409606.0,0.0,1.0,111.57,111.57,108.23,108.97,36409606.0
2016-06-28,110.63,112.75,110.55,112.7,26813842.0,0.0,1.0,110.63,112.75,110.55,112.7,26813842.0
2016-06-29,113.37,114.25,113.04,114.16,20968273.0,0.0,1.0,113.37,114.25,113.04,114.16,20968273.0
2016-06-30,114.67,115.18,113.67,114.28,23192716.0,0.0,1.0,114.67,115.18,113.67,114.28,23192716.0
2016-07-01,114.2,115.13,113.81,114.19,14980023.0,0.0,1.0,114.2,115.13,113.81,114.19,14980023.0
